Image,Class,Parent,X,Y,Layer,Nearest_Distance
A22-312CD34NEUN.svs,Neuron,Layer2,1626.1,1890.9,Layer2,50.458398706260795
A22-312CD34NEUN.svs,Neuron,Layer2,1778.8,1893.5,Layer2,74.32967106075469
A22-312CD34NEUN.svs,Neuron,Layer2,1611.7,1897.6,Layer2,36.279470778940585
A22-312CD34NEUN.svs,Neuron,Layer2,2034.1,1903.2,Layer2,86.02987853065929
A22-312CD34NEUN.svs,Neuron,Layer2,1769.3,1907.7,Layer2,65.92002730581957
A22-312CD34NEUN.svs,Neuron,Layer2,4443.7,1533.0,Layer2,16.681726529349294
A22-312CD34NEUN.svs,Neuron,Layer2,4367.6,1580.2,Layer2,39.02166065148941
A22-312CD34NEUN.svs,Neuron,Layer2,4405.5,1595.6,Layer2,51.28840024800941
A22-312CD34NEUN.svs,Neuron,Layer2,4373.7,1598.9,Layer2,29.7215410098462
A22-312CD34NEUN.svs,Neuron,Layer2,4389.7,1605.2,Layer2,42.52058325093805
A22-312CD34NEUN.svs,Neuron,Layer2,4406.2,1611.7,Layer2,35.24769496009634
A22-312CD34NEUN.svs,Neuron,Layer2,4505.3,1616.4,Layer2,35.25109927363966
A22-312CD34NEUN.svs,Neuron,Layer2,4419.9,1636.1,Layer2,13.182184947875411
A22-312CD34NEUN.svs,Neuron,Layer2,4471.7,1642.1,Layer2,21.54553317975675
A22-312CD34NEUN.svs,Neuron,Layer2,4357.6,1647.2,Layer2,34.53244850861292
A22-312CD34NEUN.svs,Neuron,Layer2,4376.9,1650.7,Layer2,35.15181360897384
A22-312CD34NEUN.svs,Neuron,Layer2,4360.5,1663.5,Layer2,46.18625336612581
A22-312CD34NEUN.svs,Neuron,Layer2,4339.5,1675.2,Layer2,40.14735358650712
A22-312CD34NEUN.svs,Neuron,Layer2,4455.1,1677.5,Layer2,25.244603383694223
A22-312CD34NEUN.svs,Neuron,Layer2,4404.4,1684.5,Layer2,8.91403387922656
A22-312CD34NEUN.svs,Neuron,Layer2,4501.7,1692.5,Layer2,16.62077013859466
A22-312CD34NEUN.svs,Neuron,Layer2,4408.6,1707.8,Layer2,15.697452022541677
A22-312CD34NEUN.svs,Neuron,Layer2,4324.0,1741.6,Layer2,16.608732642799758
A22-312CD34NEUN.svs,Neuron,Layer2,4336.1,1741.0,Layer2,24.068236329237088
A22-312CD34NEUN.svs,Neuron,Layer2,4302.2,1750.2,Layer2,13.37535046269764
A22-312CD34NEUN.svs,Neuron,Layer2,4375.2,1750.2,Layer2,35.568806558556425
A22-312CD34NEUN.svs,Neuron,Layer2,4256.1,1754.3,Layer2,33.69332278063414
